time,symbol,current,high,low,volume,money,position,a1_v,a1_p,b1_v,b1_p
20260506085900.5,AG9999.XSGE,18422.0,18422.0,18422.0,692.0,191220360.0,176676.0,3.0,18426.0,6.0,18422.0
20260506090000.5,AG9999.XSGE,18429.0,18450.0,18422.0,826.0,228283035.0,176721.0,2.0,18450.0,13.0,18429.0
20260506090001.0,AG9999.XSGE,18471.0,18500.0,18422.0,1383.0,382542945.0,176621.0,11.0,18500.0,1.0,18472.0
20260506090001.5,AG9999.XSGE,18481.0,18507.0,18422.0,1646.0,455470875.0,176636.0,2.0,18481.0,1.0,18476.0
20260506090002.0,AG9999.XSGE,18481.0,18507.0,18422.0,1915.0,530027415.0,176648.0,1.0,18476.0,2.0,18468.0
20260506090002.5,AG9999.XSGE,18464.0,18507.0,18422.0,2069.0,572684055.0,176648.0,14.0,18465.0,4.0,18456.0
20260506090003.0,AG9999.XSGE,18455.0,18507.0,18422.0,2305.0,638038575.0,176676.0,2.0,18464.0,13.0,18455.0
20260506090003.5,AG9999.XSGE,18466.0,18507.0,18422.0,2580.0,714222750.0,176660.0,4.0,18482.0,10.0,18471.0
20260506090004.0,AG9999.XSGE,18478.0,18507.0,18422.0,2764.0,765218925.0,176740.0,2.0,18478.0,25.0,18466.0
20260506090004.5,AG9999.XSGE,18481.0,18507.0,18422.0,2957.0,818725545.0,176758.0,1.0,18494.0,4.0,18479.0
20260506090005.0,AG9999.XSGE,18488.0,18507.0,18422.0,3079.0,852556815.0,176734.0,2.0,18490.0,3.0,18483.0
20260506090005.5,AG9999.XSGE,18498.0,18507.0,18422.0,3177.0,879743190.0,176734.0,1.0,18500.0,1.0,18498.0
20260506090006.0,AG9999.XSGE,18502.0,18515.0,18422.0,3265.0,904166160.0,176759.0,1.0,18515.0,60.0,18502.0
20260506090006.5,AG9999.XSGE,18515.0,18521.0,18422.0,3538.0,979957590.0,176735.0,1.0,18520.0,18.0,18515.0
20260506090007.0,AG9999.XSGE,18523.0,18528.0,18422.0,3636.0,1007177565.0,176750.0,4.0,18528.0,2.0,18520.0
20260506090007.5,AG9999.XSGE,18522.0,18528.0,18422.0,3710.0,1027740105.0,176750.0,2.0,18526.0,4.0,18522.0
20260506090008.0,AG9999.XSGE,18522.0,18530.0,18422.0,3798.0,1052189595.0,176754.0,1.0,18530.0,1.0,18528.0
